id;descripcio;nogis;uso;nivel;N_patente;Nombre_comercio;Id_persona;Aprobacion;Categoria;Actividad ;Permiso_salud;Vigencia_p;Tipo_rotulo;Dimension;Rotulo;Provincia;Lic_licor;Codigo_act;Nogis_1;N_finca;F_real;Derecho;Direccion_;Filial;N_plano_ca;Tipo_persona;Distrito;Canton;Este;Norte;Longitud;Latitud
27912;PREDIO ORDINARIO;168017000;;0;287;4 x 4;205819;4/3/2009;COM;Gastronomia;287;11/2/2020 00:00;;0;NO;1;446;0;168017000;208544;;0;BAR-RESTAURANTE TARGUA 4 X 4.;;NO SE INDICA;Juridica;SALITRAL;SANTA ANA;479307.19;1093790.38;9.89186;-84.18869
30991;PREDIO ORDINARIO;510040000;;0;326;CLUB HIPICO LA CARANA;5440;8/8/2008;COM;Gastronomia;326;;;0;NO;1;0;226;510040000;639375;;0;PIEDADES, DE MEGA SUPER 1.753 OESTE.;;1-1664984-2013;Juridica;PIEDADES;SANTA ANA;477203.91;1098721.85;9.93644;-84.2079
15039;CONDOMINIO VISTANA OESTE;328150019;COMERCIAL;0;72;POPS;19939;7/1/2003;COM;Gastronomia;CS-ARS-SA-352-2015;6/8/2015 00:00;;0;NO;1;0;418;328150019;57943;;0;POZOS, CONDOMINIO VISTANA OESTE, FILIAL # 19.;F;1-1234025-2007;Juridica;POZOS;SANTA ANA;478780.37;1100278.8;9.95053;-84.19353
2233;PREDIO ORDINARIO;529238000;;0;196;PANADERIA RIO ORO;20884;27/6/1992;COM;Gastronomia;196;23/9/2020 00:00;;0;SI;1;0;702;529238000;410528;;1;URUCA, COSTADO OESTE DEL ABASTECEDOR RIO ORO.;;1-663355-1986;Fisica;URUCA;SANTA ANA;477985.22;1098289.48;9.93253;-84.20077
22727;CONDOMINIO PARQUE EMPRESARIAL FORUM I;344128000;COMERCIAL;1;398;DA PATRIZIO & LUIGI RISTORANTE;17246;18/6/2004;COM;Gastronomia;398;;;0;NO;1;0;774;344128000;24215;;0;POZOS, PARQUE EMPRESARIAL FORUM # 2, FILIAL # 3-P.;F;1-698723-2001;Juridica;POZOS;SANTA ANA;478659.22;1099587.63;9.94428;-84.19463
844;PREDIO ORDINARIO;314084000;;0;372;ROSTI POLLOS;100775;24/8/2005;COM;Gastronomia;372;;;0;NO;1;104;774;314084000;485950;;0;POZOS, DE LA CURZ ROJA 1.315 NORTE.;;1-682541-2001;Juridica;POZOS;SANTA ANA;479137.69;1099774.97;9.94597;-84.19027
12164;PREDIO ORDINARIO;110024000;;0;3;TRIBECA;21715;26/6/2001;COM;Gastronomia;3;7/2/2021 00:00;;0;NO;1;0;795;110024000;130982;;0;SANTA ANA, CENTRO, DE LA GUARIA 500 ESTE.;;1-23606-1955;Juridica;SANTA ANA;SANTA ANA;480641.47;1098440.39;9.93391;-84.17655
3674;PREDIO ORDINARIO;127009000;;0;647;SODA CHELY;658;9/8/1994;COM;Gastronomia;647;;;0;SI;1;0;899;127009000;114317;;0;DEL BANCO POPULAR, 400 OESTE Y 25 SUR.;;1-359181-1979;Fisica;SANTA ANA;SANTA ANA;479768.16;1098242.2;9.93212;-84.18451
5392;PREDIO ORDINARIO;312092000;;0;53;SODA DIANA;7015;22/4/1997;COM;Gastronomia;53;;;0;NO;1;0;899;312092000;308419;;2;POZOS, COSTADO ESTE DEL SALON COMUNAL.;;1-1447508-2010;Fisica;POZOS;SANTA ANA;479146.72;1100235.05;9.95013;-84.19019
29404;PREDIO ORDINARIO;105166000;;0;34;QUIOSCO ANA;101764;14/6/2005;COM;Gastronomia;34;;;0;NO;1;0;899;105166000;139376;;2;POZOS, DE LA CHISPA 150 ESTE.;;1-959042-2004;Fisica;POZOS;SANTA ANA;479859.82;1099456.4;9.9431;-84.18368
